front,back,tags,sources,decks,id
What are three good practices to design for *testability*?,"* Modular design
* Use of interfaces
* Dependency injection",testability,https://www.codereliant.io/making-software-reliable-the-importance-of-testability/,Software Architecture,OW2tfrufw32pG18zT0mv
What strategies can help us aspire toward eudaimonic wellbeing?,"* Know your values and aspire to live a value-led life.

* Be clear about your long-term goals and aim to take daily steps toward them.

* Reflect on the classical virtues that speak to you and try to put them into action.

* Take good care of your physical and mental health.

* Appreciate privileged connections.

* Don’t just aim to feel good, but aspire to do good. Feeling good will follow.

* Seek flow states.

* Aim for balance in your life. Don’t banish hedonic pleasure from your life completely.",eudaimonic happiness,https://positivepsychology.com/hedonic-vs-eudaimonic-wellbeing/#happiness,Wellbeing,d7M4BV1RcboL8AztnljO
What is *testability*?,How easily a software can be tested.,testability,https://www.codereliant.io/making-software-reliable-the-importance-of-testability/,Software Architecture,ubHXLVPhdzOWaKLCWv82
"What are ""tidyings""?","Tidyings are a subset of refactorings. 

They are structural changes supporting the next behavior change, and should not take more than minutes to hours to complete.","definition,tidyings","Tidy First?
Beck, Kent",Tidy First?,sFSx9aj5sgprh8SltBHB
What is the order of magnitude time wise when tidying?,"Tidying is a minutes-to-an-hour kind of activity. Yes, sometimes it goes on longer, but not for long.",decision-making,"Tidy First?
Beck, Kent",Tidy First?,vVwpzxqKFEdj67Lm8np6
How should you deal with dead code?,"Delete it. That’s all. If the code doesn’t get executed, just delete it.","tidying,dead code","Tidy First?
Beck, Kent",Tidy First?,9x3llK0LNB6hsHvAJXEc
What should you do if you see `response.code == 404`?,"Create a symbolic constant, e.g., `FILE_NOT_FOUND = 404`. Replace uses of the literal constant with the symbol.","tidying,symbolic constants","Tidy First?
Beck, Kent",Tidy First?,LSRONTbKRk9Dgqx0oZjh
What is the biggest cost of code?,"The biggest cost of code is the cost of reading and understanding it, not the cost of writing it.","cost,decision-making","Tidy First?
Beck, Kent",Tidy First?,gzf8c6pYKVvVB2njSL79
What do discounted cash flows and options tell us about when to tidy?,"*Discounted cash flow* tells us to make money sooner with greater likelihood and spend money later with less likelihood. Don’t tidy first. That’s spending money sooner and earning money later. Maybe don’t even tidy after or later. 

*Options* tell us to spend money now to make more money later (even if we don’t currently know exactly how). Absolutely tidy first (when it creates options). Tidy after and later too.","decision-making,value","Tidy First?
Beck, Kent",Tidy First?,xvOfTgEtP471qSdbcpOv
What is the difference between features and design?,"**Features** - What do users want?

**Design** - How can programmers best be supported to deliver those features?",software design,"Tidy First?
Beck, Kent",Tidy First?,NnegKhTXob1N5vBLZGgG
Why does the cost of software grow steeply after release?,"Visualized, the cost per month (say) starts low, grows rapidly, then shrinks as other opportunities become more profitable.

But why is the slope of cost growth so much steeper after release? Are we really making more changes? Yes, some more. But also, the existing system has started to create friction.

We have to worry about backward compatibility. We have to worry about production stability. We have to worry about all the ways any one change might break seemingly unrelated features.","value,cost","Tidy First?
Beck, Kent",Tidy First?,EZ9WryXP85TNBDDRYH5v
"Why is ""refactoring"" controversial these days?",“Refactoring” took fatal damage when folks started using it to refer to long pauses in feature development.,refactoring,"Tidy First?
Beck, Kent",Tidy First?,4NF0cBibJRcTROZZW3Jo
"Sometimes you read code that’s been split into many tiny pieces, but in a way that hinders you from understanding it. What to do?",Inline as much of the code as you need until it’s all in one big pile. Tidy from there.,tidying,"Tidy First?
Beck, Kent",Tidy First?,nhbFpNSJBcSWLBnRFz3C
Is decoupling always a good thing?,"Not really. To reduce the cost of software, we must reduce coupling. But decoupling isn’t free and is subject to trade-offs.",coupling,"Tidy First?
Beck, Kent",Tidy First?,6fke3XukQWRBPmhZTSYh
Should you tidy first if `cost(tidying) + cost(behavior change after tidying) > cost(behavior change without tidying)` ?,Tidying first may make economic sense in spite of discounted cash flows if the value of the options created is greater than the value lost by spending money sooner and with certainty.,value,"Tidy First?
Beck, Kent",Tidy First?,GaLSa9yTXH1Jsfvaex8D
What properties make coupling so difficult?,"**1–N** - One element can be coupled with any number of other elements with respect to a change.

**Cascading** - Once a change has rippled from one element to another, that implied change can trigger another round of changes, which can themselves trigger changes of their own.",coupling,"Tidy First?
Beck, Kent",Tidy First?,IZnFNyJaIM63IN5t5wyv
How to improve cohesion in a responsible and efficient way?,"Move one element at a time. Make the code tidier for the next person. If everyone follows the Scout rule (“leave it better than you found it”), the code will become more livable over time.",cohesion,"Tidy First?
Beck, Kent",Tidy First?,DHQmoJMhAvXzBje69Xli
